type_envoi,base_calcul,zone_type,zone_valeur,tranche_min,tranche_max,prix,unite,mini_perception,valid_from,valid_to,source_filename
messagerie,poids,departement,19,60,70,37.61,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,19,70,80,39.96,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,19,80,90,42.6,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,19,90,100,46.45,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,19,100,250,44.37,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,19,250,500,37.71,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,19,500,1000,36.03,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,21,0,10,17.33,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,21,10,20,18.97,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,21,20,30,20.71,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,21,30,40,22.63,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,21,40,50,25.67,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,21,50,60,28.75,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,21,60,70,32.34,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,21,70,80,32.91,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,21,80,90,35.26,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,21,90,100,35.63,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,21,100,250,40.31,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,21,250,500,26.89,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,21,500,1000,25.21,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,22,0,10,19.04,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,22,10,20,21.44,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,22,20,30,24.94,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,22,30,40,27.38,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,22,40,50,30.37,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,22,50,60,32.84,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,22,60,70,35.71,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,22,70,80,40.09,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,22,80,90,42.57,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,22,90,100,46.92,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,22,100,250,43.25,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,22,250,500,35.62,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,22,500,1000,34.08,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,23,0,10,20.77,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,23,10,20,23.33,forfait,,,,SIFA 010126 - P U.xlsx
